region,mk-limited
V1_L,0.6472694323937842
MST_L,0.5946452027192329
V6_L,0.5904473547109264
V2_L,0.6338602266127747
V3_L,0.6159566670494464
V4_L,0.6109378883729261
V8_L,0.6142347538633601
4_L,0.6524245834514274
3b_L,0.6124686806174474
FEF_L,0.600693482286776
PEF_L,0.5693873001586959
55b_L,0.5789723929258461
V3A_L,0.6061362907029453
RSC_L,0.6869560212676754
POS2_L,0.5951766733160094
V7_L,0.6073796699465064
IPS1_L,0.5904339873504874
FFC_L,0.6022219330651374
V3B_L,0.5867471617783775
LO1_L,0.5811920533016595
LO2_L,0.58772283057945
PIT_L,0.5981577379637324
MT_L,0.5935824113300308
A1_L,0.6739895912448537
PSL_L,0.5456770531624473
SFL_L,0.5720927247089369
PCV_L,0.564258963357972
STV_L,0.55316592997501
7Pm_L,0.5529292997804217
7m_L,0.5765100841306661
POS1_L,0.633917115861417
23d_L,0.6068108615228631
v23ab_L,0.6190528159124385
d23ab_L,0.620525449544733
31pv_L,0.597768561526222
5m_L,0.619401931133803
5mv_L,0.5769822203975516
23c_L,0.5745918541928989
5L_L,0.5601222745090484
24dd_L,0.6282973415493768
24dv_L,0.6042562966787811
7AL_L,0.562648826391856
SCEF_L,0.601053899361878
6ma_L,0.5805343180437328
7Am_L,0.5470369864227167
7Pl_L,0.5657367904346262
7PC_L,0.5719675208874658
LIPv_L,0.5998188215454323
VIP_L,0.5704201490411788
MIP_L,0.5857690792739862
1_L,0.6004598753205692
2_L,0.6058114929619884
3a_L,0.6396163706416824
6d_L,0.60010654225728
6mp_L,0.6048540399814243
6v_L,0.5491068406371504
p24pr_L,0.5835736538842017
33pr_L,0.6041045661520215
a24pr_L,0.5685586216678533
p32pr_L,0.5906109108117262
a24_L,0.6021563204753835
d32_L,0.5639616539243445
8BM_L,0.5676990907915274
p32_L,0.5972479766619964
10r_L,0.630609823228874
47m_L,0.6471869218861384
8Av_L,0.5657626857991935
8Ad_L,0.5682270732598826
9m_L,0.5392383670377882
8BL_L,0.5478492524112746
9p_L,0.5426337721363564
10d_L,0.5386448107009212
8C_L,0.5846915720022767
44_L,0.571115355496559
45_L,0.589997369247572
47l_L,0.5870262401283498
a47r_L,0.5663448515602745
6r_L,0.5561652978549887
IFJa_L,0.5938451474266847
IFJp_L,0.5802104382005635
IFSp_L,0.5767375691837013
IFSa_L,0.5656847552118365
p9-46v_L,0.5688435765805778
46_L,0.5443566495283225
a9-46v_L,0.5520288856306519
9-46d_L,0.5463787455038764
9a_L,0.5334897681753559
10v_L,0.6589520835230606
a10p_L,0.5575034707268718
10pp_L,0.6112305206613611
11l_L,0.6267190003806148
13l_L,0.686755441880806
OFC_L,0.7266535693378378
47s_L,0.634965645507861
LIPd_L,0.5944690473258175
6a_L,0.6020466919047409
i6-8_L,0.5787803814135514
s6-8_L,0.571829522478917
43_L,0.5783326668552766
OP4_L,0.5779195609319228
OP1_L,0.6132606459627384
OP2-3_L,0.6391496492218456
52_L,0.6124326358420603
RI_L,0.6309537928600482
PFcm_L,0.5915050582350762
PoI2_L,0.5939331868565211
TA2_L,0.5746589830542246
FOP4_L,0.5947845452352506
MI_L,0.5762928831739879
Pir_L,0.6573579641676055
AVI_L,0.6081223373320281
AAIC_L,0.6041354695791279
FOP1_L,0.5932348361823001
FOP3_L,0.5976293292434909
FOP2_L,0.6062707243295169
PFt_L,0.5449049039026382
AIP_L,0.5826974506318059
EC_L,0.7214794702332183
PreS_L,0.7154503346218146
H_L,0.6566978966512247
ProS_L,0.6456289507330424
PeEc_L,0.6801437501543972
STGa_L,0.5502218101442736
PBelt_L,0.6008807389243853
A5_L,0.5696900443421333
PHA1_L,0.6566620454210529
PHA3_L,0.6276479145036491
STSda_L,0.5734365005939677
STSdp_L,0.5779410906562572
STSvp_L,0.538075594749456
TGd_L,0.6197008183538614
TE1a_L,0.5637835965922461
TE1p_L,0.5448987971500028
TE2a_L,0.6006648651379165
TF_L,0.6613748043030436
TE2p_L,0.6118864700668921
PHT_L,0.5394608178522015
PH_L,0.5620623021019625
TPOJ1_L,0.5737411831629365
TPOJ2_L,0.5582859781103479
TPOJ3_L,0.5638774829441635
DVT_L,0.5770975535968506
PGp_L,0.5520864171445257
IP2_L,0.5558766012696543
IP1_L,0.5604417146538435
IP0_L,0.5524105536788727
PFop_L,0.5453741936703084
PF_L,0.5460026494558293
PFm_L,0.5424576381536312
PGi_L,0.5525875675577474
PGs_L,0.5511304131668396
V6A_L,0.5737065331792781
VMV1_L,0.6577117491377358
VMV3_L,0.6183836170305431
PHA2_L,0.6252204577717453
V4t_L,0.579328604528899
FST_L,0.560871339151148
V3CD_L,0.5744518650431507
LO3_L,0.567812439176188
VMV2_L,0.6284412599770809
31pd_L,0.5829906521356395
31a_L,0.5714794305587154
VVC_L,0.6374554721007164
25_L,0.69539502782125
s32_L,0.6778968516549477
pOFC_L,0.7075900311382836
PoI1_L,0.5926884567782058
Ig_L,0.6318608836041008
FOP5_L,0.6236727726072367
p10p_L,0.5557741923176611
p47r_L,0.5543374442465137
TGv_L,0.6654210647089533
MBelt_L,0.6430120399786076
LBelt_L,0.6507466557802575
A4_L,0.5678172039684404
STSva_L,0.5580227339247347
TE1m_L,0.5559947558977937
PI_L,0.5923427905309245
a32pr_L,0.5758215877796056
p24_L,0.5610205546659988
V1_R,0.6480392718268805
MST_R,0.5892291713735704
V6_R,0.6009359113917564
V2_R,0.6343671007842707
V3_R,0.6115122810854403
V4_R,0.5999231370929212
V8_R,0.613614592128666
4_R,0.6488722300229595
3b_R,0.6396696518441428
FEF_R,0.60117142568211
PEF_R,0.5838345118882332
55b_R,0.5723431752140193
V3A_R,0.5926556004040033
RSC_R,0.6946613187375503
POS2_R,0.5879002180629616
V7_R,0.5736103428447845
IPS1_R,0.5620487680155252
FFC_R,0.6118963314081513
V3B_R,0.5761014883355845
LO1_R,0.5754940445176855
LO2_R,0.5790180267340825
PIT_R,0.5866713322543792
MT_R,0.5774103754264331
A1_R,0.6631905448364964
PSL_R,0.5271603603179971
SFL_R,0.5826683642599457
PCV_R,0.5781410979604129
STV_R,0.5509233181040369
7Pm_R,0.5579130009817317
7m_R,0.5851385046770993
POS1_R,0.6297587730956646
23d_R,0.6152757913190721
v23ab_R,0.6319519536582432
d23ab_R,0.6168235295123734
31pv_R,0.5971834912031138
5m_R,0.6313586483816169
5mv_R,0.6027784650552581
23c_R,0.5793372528390198
5L_R,0.568982030341276
24dd_R,0.6451868418664843
24dv_R,0.6214871756956787
7AL_R,0.5443499215118561
SCEF_R,0.627766198034606
6ma_R,0.5812428525510736
7Am_R,0.5512276130624161
7Pl_R,0.549463965590903
7PC_R,0.5481321225640834
LIPv_R,0.5779244841400164
VIP_R,0.5486839419682797
MIP_R,0.560728463048006
1_R,0.5815354352338692
2_R,0.5841243721814855
3a_R,0.6399824940879348
6d_R,0.6024702500353578
6mp_R,0.6093599500541075
6v_R,0.5473783882652916
p24pr_R,0.5918180154643004
33pr_R,0.6163296882375561
a24pr_R,0.5839494751215942
p32pr_R,0.6084883503999492
a24_R,0.6060261530801244
d32_R,0.5896689148521974
8BM_R,0.5990813254178534
p32_R,0.6082130942673658
10r_R,0.6411126759977795
47m_R,0.666802978772644
8Av_R,0.5745180517237266
8Ad_R,0.5758437162345607
9m_R,0.5670862717864197
8BL_R,0.5497229899873993
9p_R,0.5414335149953873
10d_R,0.5490835218624441
8C_R,0.5866625521627371
44_R,0.5754990873716717
45_R,0.583219699597046
47l_R,0.5893570711142884
a47r_R,0.5800637827262757
6r_R,0.5696013522940506
IFJa_R,0.6051544145051041
IFJp_R,0.5928723197902918
IFSp_R,0.5937746726368747
IFSa_R,0.5762542053349313
p9-46v_R,0.57307092972851
46_R,0.5656896314912915
a9-46v_R,0.5706024289894351
9-46d_R,0.5572120384881357
9a_R,0.5324257220213333
10v_R,0.6537079158965917
a10p_R,0.5728462289103058
10pp_R,0.6193260507208802
11l_R,0.6368970146281387
13l_R,0.7050134161676043
OFC_R,0.7195674269982438
47s_R,0.6439288968127435
LIPd_R,0.57057771127869
6a_R,0.6016360437005536
i6-8_R,0.5929738711478486
s6-8_R,0.5700162868044109
43_R,0.5734128741977982
OP4_R,0.5720605568820715
OP1_R,0.605168013382285
OP2-3_R,0.6270507336479195
52_R,0.6147196388302353
RI_R,0.606361651562569
PFcm_R,0.5700930948816637
PoI2_R,0.591544925859641
TA2_R,0.5942717853691005
FOP4_R,0.6048698736878967
MI_R,0.5744033409644973
Pir_R,0.6554717481535889
AVI_R,0.6157519517415669
AAIC_R,0.6032621980290613
FOP1_R,0.6047421266662538
FOP3_R,0.5995899310966156
FOP2_R,0.6079125126836251
PFt_R,0.5395018676232773
AIP_R,0.5596716049666375
EC_R,0.7212946951784855
PreS_R,0.7184698743885474
H_R,0.6588667061690483
ProS_R,0.6560856465848124
PeEc_R,0.6785705358516245
STGa_R,0.5570681103519852
PBelt_R,0.596643205277145
A5_R,0.5591262974769372
PHA1_R,0.6621549132461116
PHA3_R,0.6275240430927036
STSda_R,0.5631389934071063
STSdp_R,0.5701973649589307
STSvp_R,0.5383471183877047
TGd_R,0.6283761318957201
TE1a_R,0.5638276962123246
TE1p_R,0.5447580463365274
TE2a_R,0.6024770804437545
TF_R,0.6638198344718513
TE2p_R,0.6201739112240955
PHT_R,0.53346113802199
PH_R,0.5631777435628061
TPOJ1_R,0.5562636740754889
TPOJ2_R,0.5559376867531349
TPOJ3_R,0.5540869611152406
DVT_R,0.589524161564
PGp_R,0.5355753379325969
IP2_R,0.5540443857189424
IP1_R,0.5515199818843005
IP0_R,0.558720132159588
PFop_R,0.539108876715421
PF_R,0.529526973583281
PFm_R,0.5374524498323259
PGi_R,0.5384240398180496
PGs_R,0.5323811453700042
V6A_R,0.5719263328819395
VMV1_R,0.663720016944004
VMV3_R,0.6259183756021414
PHA2_R,0.6313650680555999
V4t_R,0.5738658394370443
FST_R,0.5581969380844638
V3CD_R,0.5627738327640341
LO3_R,0.5622414055326862
VMV2_R,0.6289384302685745
31pd_R,0.5890642743391193
31a_R,0.5910512865175237
VVC_R,0.6463551131327047
25_R,0.6837858295850215
s32_R,0.679584958302586
pOFC_R,0.7105362628316008
PoI1_R,0.5884784727125488
Ig_R,0.6116674205237063
FOP5_R,0.6294361024020578
p10p_R,0.5624510253108757
p47r_R,0.5644432141325351
TGv_R,0.6669119680184173
MBelt_R,0.6566794025025673
LBelt_R,0.6262652644045861
A4_R,0.557739301373582
STSva_R,0.5652367056917891
TE1m_R,0.5543881764783716
PI_R,0.5931574256118973
a32pr_R,0.5927525840382973
p24_R,0.5773309504482159
