region,integration
V1_L,1.4549463229918127
MST_L,0.7616508343867961
V6_L,-0.5331485032136285
V2_L,0.3106527293853782
V3_L,0.47245592871006004
V4_L,1.9011006430331665
V8_L,2.7842782694500907
4_L,2.61048295608484
3b_L,2.8430992836009725
FEF_L,3.8997170451658643
PEF_L,1.551150238643334
55b_L,1.462380437704701
V3A_L,0.530080940187782
RSC_L,-1.5949705536160832
POS2_L,-1.5240895732797521
V7_L,1.7275599340153782
IPS1_L,1.9241587257171513
FFC_L,3.185841938226227
V3B_L,1.584709981339548
LO1_L,1.946623562927109
LO2_L,3.2271771282091524
PIT_L,3.8420847653046586
MT_L,0.5197566229589151
A1_L,3.629084453360833
PSL_L,0.18249277042262685
SFL_L,-1.3702925813439828
PCV_L,-2.433242220898957
STV_L,0.043504871260913056
7Pm_L,-1.3480624646670312
7m_L,-3.7442673968679565
POS1_L,-1.71286715545812
23d_L,-1.2826501128797627
v23ab_L,-2.495992484085196
d23ab_L,-3.1710113767825856
31pv_L,-3.1675566754435325
5m_L,-0.34514238510560996
5mv_L,-0.9227334827008387
23c_L,-1.0451397406221818
5L_L,0.17405746717275472
24dd_L,2.2899330237175097
24dv_L,0.9155779233903958
7AL_L,-0.40181027127020036
SCEF_L,0.9436324925771957
6ma_L,-0.5481615733339251
7Am_L,-0.04393110915737517
7Pl_L,1.2853694872348047
7PC_L,1.3783459323164804
LIPv_L,1.1294401810974741
VIP_L,1.3378022695483769
MIP_L,0.8969220199102221
1_L,0.9750033254332975
2_L,1.5203552537642882
3a_L,1.5158569699632922
6d_L,1.5106626290706229
6mp_L,0.6673000585143183
6v_L,1.3432341730053943
p24pr_L,-0.3289549822952339
33pr_L,-2.3540289407374737
a24pr_L,-2.476612869004855
p32pr_L,-1.1881299079399814
a24_L,-2.4938663815219484
d32_L,-3.1009884834636154
8BM_L,-2.942657330696473
p32_L,-2.3465447347161996
10r_L,-2.9767042335804996
47m_L,-1.766487603862942
8Av_L,-0.8601552109845748
8Ad_L,-1.398230522021199
9m_L,-2.8979816228354256
8BL_L,-1.7361479833788294
9p_L,-2.391057914572703
10d_L,-1.362310254032096
8C_L,-1.7160994645571195
44_L,-0.12609795438655508
45_L,-1.1040914014670073
47l_L,-1.7455215454973532
a47r_L,-1.4879102402934377
6r_L,1.1624587203916374
IFJa_L,-1.1023884513806845
IFJp_L,-1.066466159055759
IFSp_L,-1.2708660964473866
IFSa_L,-1.2409566566082961
p9-46v_L,-1.3147448758938396
46_L,-1.757317002436498
a9-46v_L,-1.6821512781566517
9-46d_L,-1.9587229856451196
9a_L,-1.899395576558976
10v_L,-1.8626388182636961
a10p_L,-2.1659402543495747
10pp_L,-1.1444647014054274
11l_L,-1.809323829276456
13l_L,-2.166776697895861
OFC_L,-1.7876287466059535
47s_L,-2.2270887502099765
LIPd_L,0.06523934467009355
6a_L,2.064290387374359
i6-8_L,0.38284643948999364
s6-8_L,-0.4703646159465545
43_L,2.4227576517223333
OP4_L,2.145333917693441
OP1_L,1.1312375501359486
OP2-3_L,0.9945860122677236
52_L,3.1827534398232578
RI_L,2.354364107472486
PFcm_L,1.355054105796411
PoI2_L,1.9315661177588737
TA2_L,0.8129740949807025
FOP4_L,0.41729181729035336
MI_L,1.6623653546750272
Pir_L,-2.1719090631994837
AVI_L,0.11344438370206308
AAIC_L,-1.1355232223993765
FOP1_L,2.399239752079672
FOP3_L,1.0564269368213615
FOP2_L,0.6708469360316952
PFt_L,0.8487863880121604
AIP_L,2.345577616416655
EC_L,-1.1650791398331402
PreS_L,1.3597109270605228
H_L,2.0074408673027553
ProS_L,-1.189233733999218
PeEc_L,-0.9539987321727341
STGa_L,-0.4961059524542871
PBelt_L,5.814338788676646
A5_L,4.557248323019604
PHA1_L,0.9144135395598126
PHA3_L,0.8730083542476094
STSda_L,1.9838583535039707
STSdp_L,5.934351890096467
STSvp_L,2.8235251449927614
TGd_L,-1.804402764813773
TE1a_L,-0.23690970038260148
TE1p_L,-0.04077911840269013
TE2a_L,-0.9257835594223766
TF_L,-0.38628994859590193
TE2p_L,-0.23274169887732013
PHT_L,0.1372192175176586
PH_L,2.308347009550333
TPOJ1_L,3.8393907025517
TPOJ2_L,-1.5168325350018212
TPOJ3_L,-1.8020908969914162
DVT_L,-0.23813542956062872
PGp_L,0.29707308612047023
IP2_L,0.289311624087658
IP1_L,0.05677562557775786
IP0_L,1.3179818873628206
PFop_L,0.5503512674948687
PF_L,-0.31430127265191354
PFm_L,-0.9619792853280832
PGi_L,-2.740547714086862
PGs_L,-1.3027263548213106
V6A_L,0.6880012778206457
VMV1_L,-0.2571083324983322
VMV3_L,1.315598782547637
PHA2_L,1.96396282987576
V4t_L,2.95135980479917
FST_L,2.4022415781823696
V3CD_L,1.981273452774115
LO3_L,-0.3671469644252125
VMV2_L,-0.43783554955694187
31pd_L,-3.4535422967062273
31a_L,-2.303304456513023
VVC_L,2.204223975432177
25_L,-2.831433241335952
s32_L,-2.1460678481797415
pOFC_L,-2.098151128852944
PoI1_L,1.710178039000846
Ig_L,1.2997464360962827
FOP5_L,0.26918571835298694
p10p_L,-1.722429859840674
p47r_L,-1.979142264212758
TGv_L,-1.1970363769342913
MBelt_L,4.03755109912958
LBelt_L,5.348942139011997
A4_L,3.161302503128172
STSva_L,0.2979647984327088
TE1m_L,-0.24111562065683878
PI_L,-0.11811940340167916
a32pr_L,-3.3478990268160858
p24_L,-3.47141876699818
V1_R,1.6374005274011156
MST_R,2.4241522271038516
V6_R,0.24464401754486187
V2_R,0.8078615187655671
V3_R,1.261640360555687
V4_R,3.0629691960246386
V8_R,2.5761015746387566
4_R,1.8553910962152433
3b_R,2.4503315332523647
FEF_R,2.558654462993969
PEF_R,1.504375006730186
55b_R,1.459360967610237
V3A_R,0.920535504217279
RSC_R,-1.3962447794447062
POS2_R,-0.8216913471642237
V7_R,1.7419274131171631
IPS1_R,0.5244760694572728
FFC_R,3.3375484473834445
V3B_R,2.2989285303778018
LO1_R,2.949310929155586
LO2_R,3.2427048276204316
PIT_R,3.4654275142363393
MT_R,0.5228142882412136
A1_R,4.013177857675588
PSL_R,-0.7963200549750504
SFL_R,-1.4314137245116294
PCV_R,-1.185369891624445
STV_R,-0.5185532711870978
7Pm_R,0.44150995276672783
7m_R,-3.361515237482201
POS1_R,-1.7415798516341905
23d_R,-1.4456641199356925
v23ab_R,-2.404610641095051
d23ab_R,-2.337679663794225
31pv_R,-1.8985741780321685
5m_R,-0.39896926276673894
5mv_R,-0.40561197575226215
23c_R,-1.2363517520364857
5L_R,0.028153910841259348
24dd_R,1.776400226297562
24dv_R,1.4986936076112678
7AL_R,0.6162891716301496
SCEF_R,0.38629113182505553
6ma_R,-0.7929817417946154
7Am_R,0.7368652746151111
7Pl_R,0.6638567025587006
7PC_R,0.8627201555609586
LIPv_R,1.6614275563714085
VIP_R,1.563655659429284
MIP_R,1.026983916776489
1_R,1.4773912060977195
2_R,1.4232957787589955
3a_R,1.4026141821368456
6d_R,1.0751856556317085
6mp_R,0.31929100260161924
6v_R,1.4467597321764885
p24pr_R,-0.015372719731460283
33pr_R,-2.4590352718277635
a24pr_R,-2.8716901172199645
p32pr_R,-1.2382422991172488
a24_R,-2.914279597060921
d32_R,-3.1005107399200553
8BM_R,-2.2087341178630227
p32_R,-3.5719207489319125
10r_R,-3.2460300520818106
47m_R,-1.6744003095554476
8Av_R,-1.6821603924124942
8Ad_R,-2.0702245239254804
9m_R,-2.667021518624373
8BL_R,-2.119583338008333
9p_R,-1.4074858067053981
10d_R,-0.8320279330944593
8C_R,-2.0339872729062227
44_R,-0.9801979062292068
45_R,-1.821755106898383
47l_R,-1.262712741603725
a47r_R,-2.0293377691391146
6r_R,0.3938079106282813
IFJa_R,-0.1522991568942165
IFJp_R,-1.4715343204395437
IFSp_R,-1.1935534740209692
IFSa_R,-1.7580696271858383
p9-46v_R,-0.8630480341310359
46_R,-1.1584754317764574
a9-46v_R,-1.179135121189671
9-46d_R,-1.4002416259489743
9a_R,-1.2123442969432596
10v_R,-2.226229314910355
a10p_R,-1.5538366602456926
10pp_R,-1.0096285580018187
11l_R,-1.9267513355602481
13l_R,-2.7196958941552567
OFC_R,-1.5507384418162564
47s_R,-2.068219448102104
LIPd_R,0.3730856650250548
6a_R,1.3744101126290484
i6-8_R,-0.345690139141934
s6-8_R,-1.5197999971030778
43_R,0.9940274454140217
OP4_R,0.8115058816371726
OP1_R,1.4086443858268987
OP2-3_R,0.6824966852219247
52_R,2.8505410431313187
RI_R,0.6487127163416252
PFcm_R,0.5501653132805681
PoI2_R,0.688765755345695
TA2_R,1.4565156914034336
FOP4_R,0.10114855441375824
MI_R,0.8512151027527817
Pir_R,-2.368515289010049
AVI_R,0.07554841636970079
AAIC_R,-1.1890906292760473
FOP1_R,1.3652075779872455
FOP3_R,0.27269702621614755
FOP2_R,1.06471332793692
PFt_R,1.1505193963576368
AIP_R,0.9184214938727896
EC_R,0.8672941386378331
PreS_R,0.9471820599975739
H_R,2.094512962506548
ProS_R,-0.7660832822186293
PeEc_R,0.16868536244562127
STGa_R,-0.8455220660527758
PBelt_R,3.239096459398893
A5_R,4.835605299281982
PHA1_R,0.8709329398053169
PHA3_R,1.6550663631345213
STSda_R,2.65073018663365
STSdp_R,5.785078618874884
STSvp_R,4.456016843192784
TGd_R,-1.382677141716255
TE1a_R,-0.44124823033044513
TE1p_R,0.42447947998052143
TE2a_R,-0.9596395861852659
TF_R,0.15831633762891453
TE2p_R,0.1840749502884514
PHT_R,0.35445948204376004
PH_R,3.223722690969961
TPOJ1_R,2.480415333331772
TPOJ2_R,-0.6513796323031594
TPOJ3_R,-2.603809449514227
DVT_R,-0.1982607421947598
PGp_R,-1.2679209334810224
IP2_R,-0.009716176923482396
IP1_R,-1.33314140243758
IP0_R,1.7149647716101852
PFop_R,-0.3648954417362639
PF_R,0.4798729554190254
PFm_R,-1.4451625647355646
PGi_R,-3.0378737460922665
PGs_R,-1.7139073022892912
V6A_R,-0.32609156689638896
VMV1_R,0.5751122242143342
VMV3_R,1.9353457069032545
PHA2_R,2.460740978940102
V4t_R,4.03218373045113
FST_R,2.310766611752235
V3CD_R,2.043015310310266
LO3_R,-0.47792006483683463
VMV2_R,1.1463274842207816
31pd_R,-1.285963201159431
31a_R,-1.4592851073240722
VVC_R,2.254208923353021
25_R,-2.477444176347375
s32_R,-1.9147192868789706
pOFC_R,-2.3419173505080866
PoI1_R,0.8013267569880365
Ig_R,1.1751904957304329
FOP5_R,-0.7070035389566223
p10p_R,-2.4698517384714336
p47r_R,-2.194244157796738
TGv_R,-0.9034607722214943
MBelt_R,3.5037607627056473
LBelt_R,4.804436121085358
A4_R,2.2044369862866655
STSva_R,2.3841832920184554
TE1m_R,0.2915339796985217
PI_R,-0.34286645403160587
a32pr_R,-2.899131834344438
p24_R,-3.571547929767006
